comments,ratings
"I have fine, but stubborn hair. It naughts up like no other and gets very dry and brittle after combing. I've combed it wet, dry, whatever - it was unmanageable! For months I've heard that the Wet Brush is the way to go and that it'll comb through naughts softly, leaving your hair perfectly smooth. Finally I broke down and got one. It is by far the best brush I've ever owned. I hope that I can grow my hair out longer than my shoulders, now that I have a brush that gives me naught-free hair. I don't even have to brush my hair in the morning if I brushed it the night before; this brush leaves my hair so soft and light. So happy with this purchase and would definitely recommend!",5
"it do just what the commercial say, only problem my sister have is when she rinse it of water do get in the bush and she got to shake it out.",4
"This product was reviewed by a 62 year old woman. The pen was easy to apply, the serum that came out was gel like and while was a good moisturizer, after several weeks of diligent use the wrinkles were not visibly reduced and I think that is the biggest claim this product makes and the whole point of the product. It's awful expensive for just a moisturizer.",2
"What an amazing set!! The polishes are so pigmented which is why this set is perfect for stamping... The polish has a stronger smell than other brands, but for the amount & quality I get for the price, I don't mind :)",5
I bought this for my daughter in her dorm.  We love that it's organic and unscented with a handy pump.  I will buy the refill next time around.  Highly recommend and will buy again.,5
"I tend to buy more makeup artist line eye shadows but I freelanced for Lancome and they have decent eye shadows, they have nice pigment and color",3
i did not received my item . would have really like a new one but was too afraid to try my luck and it might get lost again.,1
"Using this brush with argan oil is a great way to smooth curly, dry hair that tends to frizz easily.It goes through wet hair easily, the barrel design allows good air flow and heats to speed drying. The base of the brush part where it meets the handle doesn't grab hair. Not even my fine straight hair.For my waist length, straight hair, drying was a lot faster, and combined with argan oil- my hair looked very shiny. Curling the ends was beyond my dexterity though. It's not really designed for people like me who have fairly smooth hair.My daughter on the other hand has hair that tends to be dry, it's very thick and a bit coarse, and full of loose curls and waves that fluff and frizz at nearly any change in the weather. It's shoulder length and she has tried so many things to get it as smooth as she prefers. Her preferred hair style is smooth with the ends curled either up in a flip or under in an all one length bobbed cut.This works great on her hair. I'll continue using it for those rare times that I blow out my hair, but she's going to use the brush regularly. It just does the job easily, and leaves her with the nice, smooth, non-frizzy or fluffy style she likes in a lot less time with less damage than drying and using a straightening iron.",5
This hair lotion is very light and smells great. Your scalp's pores will not be clogged which causes lots of itching and dandruff. The real key to this lotion working successfully on your hair and scalp is to use it daily.,4
"If you want to experiment with peel yourself, try this product. It's really nice and it gets the results. I put it on my face every weekend for a few months and I still have like  of a bottle left. It doesn't take much but it does the work. Don't expect miracles, though. This is very gently (if you do it right) so it is very good for use ""at home"". If you want a cosmetic, dramatic results, go to a spa and pay $300.",5
"I bought this product in February and just started using it on Sunday, April 3. I am currently on day 5 and while I look completely hideous (I mean it in the worst possible way), I can see a lot of improvements. This experience hasn't been fun. I have a full ""Peel Diary"" on my blog if anyone is interested on hearing all the details of the peel. I hope someone finds it helpful.[...]For those who don't want to read all of it, I will post the final review as it happens.  I bought the 25% peel by the way, and not the 20%. Woopsies.***It is now Day 9 and I have to say I am very happy with the results! I had a few days of pure misery (to say the least) BUT everything has improved and continues to improve daily!If you have any questions, feel free to contact me through my blog. I will be happy to answer any questions. Thanks!!",4
I have super thick hair and for years ive strugled with tangles. This brush helps sooo much! Glides right through! Wish it was a little less bulky but i love it! Also love the hair mask that came with it!,4
"I've used this weekly for the past four weeks, and while it does brighten my hair and make it shine, it also discolors everything it touches before it is rinsed out.  That includes skin around my hairline, my hands and the bottom of the shower floor if not continually running the water while waiting the two or three minutes recommended on the bottle.With that said, this product does do what it promises.  Adds brightening color and shine.  But, because I have to scrub my skin several times to remove the staining from my hands - I probably will not be buying this product.",3
"After reading the product reviews online I was a little frightened about this product, but after I got it yesterday, I put it together which I must say was quite easy (I didn't even need the instructions), I ran it for about 45 mins, letting it air dry and removing all the water. It seems to work quite well, I play with the vent, marked the water tank to the full mark with a sharper, check for any leaks",3
It looks chalky and came damaged. Horrible packing unless mine was previously opened. Perhaps I will use it mixing it with another more moisturizing balm because this lipstick seems dry. I will not be buying any more of this brand. It was cheap and I guess I shouldn't expect much from it to begin with... My bad.,1
Loved this body wash. There are many body washes that make my skin even more dry than it already is. This one made my skin soft ! overall I loved this product,5
"these just sparkle like you can't imagine, very easy to apply and wonderful over other colors or on their own, very happy with them",5
"I color my hair and with styling my hair everyday, my hair goes through it. This product keeps my hair soft, shiny, and manageable.Love this product.",5
I have Interstitial Cystitis an most over the counter pain relievers burn. This one doesn't.. I don't know why just know that it doesn't.. I use it and it works well for pms.. Headaches and cramps,5
This is the BEST mascara out there. Stays great and makes my eyes look amazing. Such a great price...love e.l.f.!,5
"I have used this serum during my morning facial routine.  I have used several other products and then stopped in order to be able to see the difference this makes on my face.The biggest difference that I have noticed is that my face is not as dry as it normally is.  I was excited because of the Vitamin C and how it promises brighter, more youthful looking skin, but I was not expecting the serum to keep my face as moisturized as it has.  I expect with even more use that I will see some of my fine lines diminish, but I am happy with the results after one week.It only takes a few drops to make a difference in your skin!",4
