comments,ratings
"Medium brown head.  Black body goes clear deep dark red at edges. Deep caramelly fruity vanilla fudge aroma with chocolatey red berry notes.  Dry-sweet earthy butterscotch and soy sauce taste with dusty red berry notes.  Full-bodied.  Dry roasty soy sauce and earth aftertaste with cardamom, vanilla fudge, and dried fruit notes.  Aftertaste could use a little more bit, otherwise very nice and and drinkable.  &#40;0.75l bottle, from somewhere in Copenhagen, I think.&#41;",14
"Small brown head.  Clear deep brownish red body with ongoing carbonation.  Roasty chocolatey wild berry aroma with vanilla fudge spice notes.  Sweet-dryish chocolatey spicy alcoholic taste with wooden vanilla fudge notes.  Very full-bodied.  Sharpish, slightly hot mouthfeel.  Dryish wooden sherry and spice aftertaste with roasty caramelly vanilla fudge notes.  Nice, but a bit dense and massive. &#40;0.75l bottle, Fish & Beer, Copenhagen.&#41;",13
"Big offwhite head.  Slightly hazy deep amber body.  Earthy resiny tropical fruit aroma with pineapple notes.  Dry-sweet tropical fruit and spice taste with earthy resiny pineapple notes. Mid-bodied.  Mild, soft mouthfeel.  Dry earthy resiny strawy aftertaste with pineapple, gooseberry and spice notes.  Lingering strawy earthy dusty finish.  Nice.  A bit unusual, but subtle and harmonic.  &#40;0.355l bottle, Systembolaget, Charlottenberg.&#41;",14
"Big beige-brown head.  Clear deep dark-brown head with light carbonation.  Earthy dusty vaguely spicy aroma with roasty notes. Dry dusty earthy roasty taste with chocolatey wooden notes. Mid-bodied.  Dry earthy caramelly lacquer aftertaste with dusty wooden toffee and mineral notes.  Nice, drinkable, harmonic. This grew on me as I drank. &#40;0.5l bottle, Systembolaget, Charlottenberg.&#41;",14
"Big offwhite head.  Clear amber body with carbonation.  Grainy, vaguely malty aroma, very faint.  Dry-sweet fruity sugary papery taste.  Mid-bodied.  Mild, slightly empty mouthfeel.  Dry fruity grainy papery aftertaste with spicy notes.  It's OK, but a bit weird.  With the ingredients listed on the can it ought to taste a lot better than this.  &#40;0.33l can, Systembolaget, Charlottenberg.&#41;",11
"Small beige head. Deep reddish brown body. Deep red berry and oily vinegar aroma with chemical wooden notes. Dry-sweet-acidic earthy red berry taste with wooden notes. Mid-bodied. Sharpish mouthfeel. Dry-acidic chemical red berries aftertaste with wooden vinegary notes. Nice, drinkable, harmonic. &#40;0.5l bottle shared by Ole_R.&#41;",13
"Small offwhite head.  Clear dark deep red body.  Earthy caramelly aroma with red berry and toffee notes.  Dry-sweet earthy mineraly caramel taste with oily toffee notes.  Full-bodied.  Mild, soft mouthfeel.  Dryish earthy soy sauce and caramel aftertaste with dried fruit, red berries, and spice notes.  Nice and drinkable, but perhaps a bit subdued.  &#40;0.5l bottle, Systembolaget, Charlottenberg.&#41;",13
"Biggish dark brown lasting head.  Opaque black body goes barely translucent dark red at edges.  Roasty chocolatey aroma with earthy nutty hoppy notes.  Dry roasty earthy chocolatey taste with dusty notes.  Mid-bodied.  Mild, soft, dusty mouthfeel.  Dry sooty earthy roasty aftertaste with minty chocolatey notes. Nice, drinkable, harmonic.  &#40;0.355l can, Systembolaget, Charlottenberg.&#41;",13
"Huge offwhite lasting head.  Slightly hazy yellow body.  Deep fruity oily sugary aroma with earthy notes.  Dry-bitter fruity earthy funky taste with oily grassy notes.  Mid-bodied.  Mild, slightly sharp, mouthfeel.  Dry oily fruity aftertaste with grassy earthy notes.  It's not bad, but the hops are too sharp, and it's not at all what I was hoping for from an unfiltered lager.  &#40;0.33l bottle, Systembolaget, Charlottenberg.&#41;",12
"Small white head.  Clear paleish yellow body with light carbonation.  Sugary papery herbal aroma with maize notes. Sweetish-dryish mealy papery taste with faint grassy notes. Mid-bodied.  Mild, soft, slightly mealy mouthfeel.  Dryish mealy grassy aftertaste. It's OK.  &#40;0.33l bottle, Systembolaget, Charlottenberg.&#41;",9
