Rate,Name,date,variation,Review,verified reviews
5,mary h refvem,3-Jun-18,, ,Seems like a very sturdy quality umbrella. It seems a bit heavy though.
4,Waheed Haq,3-Jun-18,, ,Material is good and the umbrella performs well.
5,N. Padilla,3-Jun-18,, ,Fits very nice in my back pack.  Look and and feel are very durable.
1,Vladimir Bykov,1-Jun-18,, ,Recently used this umbrella... I don't know where from All those 5 stars reviews coming from? But my advice - don't buy! My story short:  &#34;From parking lot to the store entrance - 40 seconds walk. Moderate rain with a wind no more 10mph. This umbrella was flipping back and forth like a daisy flower... and I got soaking wet&#34; returning.
4,Dana,1-Jun-18,, ,"Very nice umbrella,  but a little bulky and heavy as travel umbrella."
5,David,1-Jun-18,, ,"extra strong for windy, rainy days"
5,John,1-Jun-18,, ,"Great seller, great umbrella....much better made than the last travel sizes umbrella I owned"
5,Silvina C.,1-Jun-18,, ,"Great quality, when is close its super small so I can put in on my hand bag."
5,Jeabous,31-May-18,, ,"Function works great, haven't had a chance to use it in a rainstorm but seems sturdy"
5,Ken,31-May-18,, ,Very good quality
5,AmazCustomer,31-May-18,, ,thanks
5,Liz R.,30-May-18,, ,"Sturdy, well made umbrella in a compact package.  What's not to love?  :)"
5,AmazCustomer,29-May-18,, ,"this umbrella is excellent for work - fits perfectly in my computer bag, opens every time a bit tough closing need to strong arm it - left it in an Uber car so re-ordered another one - highly recommend it"
5,BobGP,29-May-18,, ,Nice  compact and sturdy umbrella.  I love the fact you can both open and close it with only one hand.  The crappy weather we've had here lately has given my plenty of time to try it out ;)
3,yellowpixels,28-May-18,, ,Well built and apparently very sturdy. However it is a bit too large and heavy for my use case.
5,Gary W. Jarboe,28-May-18,, ,Just expirenced tropical storm Alberta.  Liked it so much I purchased one for my wife!
5,Kenneth  Holland,28-May-18,, ,This is an extremely well made product. It opens and closes easily and even in heavy rain it dries quickly. And in high winds it  pops back into place (if it even needs to)
5,Andrew P. Mezey,28-May-18,, ,Easy open and close. Sturdy feel. Large enough but not too large for one person. I like it better than other collapsible umbrellas that I have had. Would definitely buy it again. Life time guarantee is very attractive.
5,D. Garcia,27-May-18,, ,The product is really well made and sturdy. I used this in Panama (Central America) where there are thunderstorms and strong rains and this worked flawlessly.
2,AR,25-May-18,, ,"I was excited to try out this umbrella based on its many reviews. However, once I received it, I was not impressed. The shaft of the umbrella was not very long so that meant that if I held this umbrella normally there would not be a lot of space between the top of my head and the top of this umbrella. And who wants to hold an umbrella super close like you're hugging it?Also, the width of the canopy was not great at all. It just barely covered most of my shoulders. Had I used this in actual rain, I'm pretty sure my shoulders and arms and back would've been soaked from lack of coverage.The construction of the umbrella distracted me from examining the quality of the material used. But I will say it didn't strike me as being heavy duty or anything.As I previously stated, overall I wasn't impressed with this product. I have returned it for a refund and a different product by a different brand and seller."
5,mark mauldin,25-May-18,, ,The umbrella arrived promptly and appears to be well made. Weâ€™ve not had an opportunity to try it out yet.I especially like the auto open and close feature.i was also impressived with guarantee.
5,R.S.E.,25-May-18,, ,The umbrella is sturdy and a quality product. I like the small size that is easy to pack.
5,Fred,25-May-18,, ,Item as described. Very good!
5,elaine4,25-May-18,, ,The umbrella seems sturdy and easy to open and close.  I bought this for an upcoming trip to Europe and haven't had an occasion to use it yet.  The umbrella operated as described and shipping was fast.
5,Louise M.,25-May-18,, ,"Excellent umbrella, sturdy, very well made and attractive.  The size is perfect for a bag, tote or overnight luggage. This is the best umbrella I have ever bought."
5,purple turtle,24-May-18,, ,"It hasn't rained yet, so I don't know how well it works in the rain. However, it opens and closes nicely and it looks and feels like it was built well."
5,Roger B Rittenhouse,24-May-18,,"Finally a strong well built umbrella!  A little heavier than I would have expected, but my guess is -  this goes back to the quality.", 
5,OML,24-May-18,, ,I've had the umbrella for about 2 years now and it has held up with no issues.
5,Bud G,24-May-18,, ,The umbrella arrived even sooner than expected and appears to be extremely well built.  We haven't had to brave the rain since we got it but we are sure it will do the job well.  We are also impressed by the customer services' eagerness to help with any problem that may occur although we doubt we will have a problem.
3,MmmmDonuts,22-May-18,, ,"Iâ€™m torn on how to rate this umbrella. Iâ€™ve used this umbrella for the last 5 months in quite a few Florida rainstorms with no problem, until a recent storm with some higher than average wind (not heavy tropical storm winds, but not a light breeze). During that storm, the umbrella blew inside out multiple times leaving me completely soaked. I have not experienced any rust or broken umbrella ribs so far. Overall, itâ€™s better than lugging a golf umbrella everywhere because itâ€™s fairly lightweight and fits in my large handbags.Pros: sturdier than a normal compact-ish umbrella, fairly lightweight, coverage size good for compact-ish umbrella.Cons: not as wind proof as advertised, not small to medium handbag friendly size."
4,IJH,22-May-18,, ,Great product for relatively low cost!
1,a,21-May-18,, ,"For all the hype, broke on day 1 in mild winds"
1,JamesMLV,21-May-18,, ,"Lasted about 30 minutes of use. Northern Ireland wind kept flipping it inside out until finally it snapped on a way that prevented it from fully opening or closing, rendering it completely useless."
5,stidriver84,21-May-18,, ,Arrived the weekend of 5/19/18. Only got a chance to use it once so far. No complaints yet.
5,Bryan NYC,21-May-18,, ,It was just as described.  I used it twice now and it's one of the best umbrellas I've ever used.
4,Timothy Field,21-May-18,, ,"[4.5 stars] pretty good quality for the price, no problems keeping water out, decent wind resistance could be a little better. But overall a good product."
5,Nicholas Pavao,20-May-18,, ,"Works great, the cover is really hard to get back on but you don't need it. The button has worked well for the 3 months I've used it."
3,Kindle Customer,18-May-18,, ,"Great travel umbrella. Nice size, like button to retract. But it broke after less than a year of occasional usage."
5,mark,17-May-18,, ,"Living in the â€œWindy Cityâ€ù presents many challenges when it comes to weather. Itâ€™s great to see a product live up to the challenge, highly recommend."
5,amanda kell,17-May-18,, ,Sturdy material. Opened and closed easily. Lightweight.
4,Colleen,17-May-18,, ,Larger than expected. Looking for more of a travel size.
4,Jafa Bob Marshall,17-May-18,, ,"does what it's supposed to do.  a little on the heavy side for a travel umbrella, but considering the engineering, not a deal buster."
5,willy curran,17-May-18,, ,Great gift. They loved the easy way it opens and closes.
5,Nan Feng,17-May-18,, ,nice umbrella and convenient for customer
5,gj1901,17-May-18,, ,I may get to use it for the first time next week.  Looking forward to it!!
5,Linda Camerlin,17-May-18,, ,"This umbrella is amazing, it opens flawlessly and closes easily.  It is very convenient to carry, too."
5,AmazCustomer,16-May-18,, ,"Best umbrella!  Auto open and close, general construction and coverage first class!"
5,John R. Johnson,16-May-18,, ,Works great!
5,cool boots,15-May-18,, ,"it lasted through the one rain I used it in, so far."
5,AmazCustomer,14-May-18,, ,I purchased this for my Chinese wife who arrived in Texas two months ago.  She is very happy with this product - it protects her against the sun and works as illustrated.
5,Donna Adams,14-May-18,, ,These are the best umbrellas I have ever used.  I highly recommend them.
1,dlmaddox,14-May-18,, ,All the metal rusted and rubbed off on the inside of the umbrella after its first use.  Barely able to open it now.  Disappointing.
5,SM,14-May-18,, ,"It might as well be the nicest umbrella we have ever owned! Seriously this is a very well-made umbrella which was actually designed with some milestones/goals in mind and the build quality is undoubtedly better that anything I have seen in my entire life. I bet that there are fancier or sturdier or more expensive ones out there, but by far, this comes across as a really trustworthy umbrella if there is such a thing! I strongly encourage others to try it out for a little more $$ than your average Walmart stuff."
3,Kyle,13-May-18,, ,Small and opens and closes easily. I still have had it flip out in wind gusts.
1,Riley,10-May-18,, ,"This umbrella actually broke after a week of heavy winds, don't buy if you live in a place with heavy winds I guess. Can I get my free replacement?"
5,Bookdiva,10-May-18,, ,"Excellent umbrella, very sturdy, never once buckled in the wind. High quality materials."
5,Melissa Egnor,9-May-18,, ,Exactly how described and was delivered fast!
5,AmazCustomer,9-May-18,,"I have not yet has the opportunity to use them yet because it hasn't rained since I purchased them. I think they will be wonderful, though.They are made with quality materials and the mechanics of the umbrella going up and down with the push of the button is the finest I've ever seen.", 
5,AmazCustomer,8-May-18,, ,"high quality, durable. I've had this for a few months and it's never let me down."
5,Bookreader,8-May-18,, ,I ordered this umbrella for my husband.  He has not had an opportunity to use it yet but he is very happy with the quality and the way it opens and closes with the push of a button.  We will be traveling by plane soon and this will fit nicely in the suitcase.  Thank you.
5,Fluffy,8-May-18,, ,A very handy umbrella. Very compact in size. Feels well constructed.
